word,dimension,valence,source_repo,source_file
kind,morality,1,sadcat,seed_words_052425.csv
unkind,morality,1,sadcat,seed_words_052425.csv
altruistic,morality,1,sadcat,seed_words_052425.csv
selfish,morality,1,sadcat,seed_words_052425.csv
truthful,morality,1,sadcat,seed_words_052425.csv
liar,morality,1,sadcat,seed_words_052425.csv
faithful,morality,1,sadcat,seed_words_052425.csv
double-faced,morality,1,sadcat,seed_words_052425.csv
forgiving,morality,1,sadcat,seed_words_052425.csv
revengeful,morality,1,sadcat,seed_words_052425.csv
selfless,morality,1,sadcat,seed_words_052425.csv
egoistic,morality,1,sadcat,seed_words_052425.csv
generous,morality,1,sadcat,seed_words_052425.csv
exploitative,morality,1,sadcat,seed_words_052425.csv
confident,assertiveness,1,sadcat,seed_words_052425.csv
insecure,assertiveness,1,sadcat,seed_words_052425.csv
independent,assertiveness,1,sadcat,seed_words_052425.csv
dependent,assertiveness,1,sadcat,seed_words_052425.csv
ambitious,assertiveness,1,sadcat,seed_words_052425.csv
unambitious,assertiveness,1,sadcat,seed_words_052425.csv
assertive,assertiveness,1,sadcat,seed_words_052425.csv
unassertive,assertiveness,1,sadcat,seed_words_052425.csv
motivated,assertiveness,1,sadcat,seed_words_052425.csv
unmotivated,assertiveness,1,sadcat,seed_words_052425.csv
persistent,assertiveness,1,sadcat,seed_words_052425.csv
wavering,assertiveness,1,sadcat,seed_words_052425.csv
daring,assertiveness,1,sadcat,seed_words_052425.csv
cautious,assertiveness,1,sadcat,seed_words_052425.csv
impulsive,assertiveness,1,sadcat,seed_words_052425.csv
diffident,assertiveness,1,sadcat,seed_words_052425.csv
aggressive,assertiveness,1,sadcat,seed_words_052425.csv
docile,assertiveness,1,sadcat,seed_words_052425.csv
self-reliant,assertiveness,1,sadcat,seed_words_052425.csv
helpless,assertiveness,1,sadcat,seed_words_052425.csv
active,assertiveness,1,sadcat,seed_words_052425.csv
inactive,assertiveness,1,sadcat,seed_words_052425.csv
